id	Authors	Apellidos	Title	abstract	type
34	Víctor Franco Sánchez, Mercé Mora and María Luz Puertas	Franco Sánchez, Mercé Mora and María Luz Puertas	Metric representations of graphs: minimality and computational complexity	The  <em>metric coordinates</em> of a vertex $u$ of a graph $G$ with respect to an ordered set $W$ of vertices of $G$ is the vector of distances from $u$ to the vertices of $W$. We say that $W$ is a <em>resolving set</em> of $G$ if different vertices have different metric coordinates. Hence, if $W$ is a resolving set of a graph $G$, then the set of metric coordinates has cardinality the order of $G$.  Here, we study the reverse problem, that is, given a set $S$ of vectors with integer entries, determine if there exists a graph $G$ and a resolving set $W$ of vertices of $G$ such that $S$ is the set of metric coordinates of the vertices of G with respect to $W$. In such a case, we say that the pair $(G,W)$ <em>realizes</em> $S$. The sets that can be realized in this way were characterized in a previous work. In this work, we study  minimal realizations with respect to the inclusion of the set of edges and some computational complexity problems.	P
35	Alexey Gordeev	Gordeev	Bollobás–Meir TSP Conjecture Holds Asymptotically	In 1992, Bollobás and Meir showed that for every $k \geq 1$ there exists a constant $c_k$ such that, for any $n$ points in the $k$-dimensional unit cube $[0, 1]^k$, one can find a tour $x_1, \dots, x_n$ through these $n$ points with $\sum_{i = 1}^n |x_i - x_{i + 1}|^k \leq c_k$, where $x_{n + 1} = x_1$ and $|x - y|$ is the Euclidean distance between $x$ and $y$. Remarkably, this bound does not depend on $n$, the number of points. They conjectured that the optimal constant is $c_k = 2 \cdot k^{k / 2}$ and showed that it cannot be taken lower than that. This conjecture was recently revised for $k = 3$ by Balogh, Clemen and Dumitrescu, who showed that $c_3 \geq 2^{7/2} > 2 \cdot 3^{3/2}$. It remains open for all $k > 2$, with the best known upper bound $c_k \leq 2.65^k \cdot k^{k / 2} \cdot (1 + o_k(1))$. <br> We significantly narrow the gap between lower and upper bounds on $c_k$, reducing it from exponential to linear. Specifically, we prove that $c_k \leq  2\mathrm{e}(k + 1) \cdot k^{k / 2}$ and $c_k = k^{k / 2} \cdot (2 + o_k(1))$, the latter establishing the conjecture asymptotically. We also obtain analogous results for related problems on Hamiltonian paths, spanning trees and perfect matchings in the unit cube. Our main tool is a new generalization of the ball packing argument used in earlier works.	T
36	Pablo Candela, Diego González-Sánchez and Balázs Szegedy	Candela, Diego González-Sánchez and Balázs Szegedy	An algorithmic spectral approach to higher-order Fourier analysis	"We present a new approach to higher-order Fourier analysis on arbitrary finite abelian groups, based on spectral decompositions of certain Hermitian matrices. In particular, this yields a new regularity decomposition for functions relative to the Gowers $U^3$-norm, which can be computed efficiently (we will present implementations using Python). This extended abstract outlines the central ideas and results underpinning this approach, based partly on the preprint <a href=""https://doi.org/10.48550/arXiv.2501.12287"">arXiv:2501.12287</a> and on papers in preparation."	T
38	Cameron Strachan and Konrad Swanepoel	Strachan and Konrad Swanepoel	The number of occurrences of the two smallest distances	 For each value of $\rho > 1$, let $e(n,\rho)$ denote the maximum combined number of occurrences of the smallest and second smallest distances in a set of $n$ points in the plane, given that the smallest distance is $1$ and the second smallest distance is $\rho$. We determine the asymptotics of $e(n,\rho) = f(\rho)n-o(n)$ for all except six values of $\rho$. For these exceptional values, we determine upper and lower bounds that are quite close. The hardest exceptional value is the golden ratio $\varphi=\frac{1+\sqrt{5}}{2}$, where we give the bounds $53/13\leq f(\varphi)\leq 4.375$ with the lower bound disproving a conjecture of Csizmadia. It turns out that for all except finitely many values of $\rho$, $f(\rho)\in\{3,7/2\}$.	T
39	Simeon Ball and Robin Simoens	Ball and Robin Simoens	Mutually entangled quantum Latin squares	 We compare two ways to define the quantum analogue of mutually orthogonal Latin squares: with and without entanglement. We prove that there exist arbitrarily many mutually entangled quantum Latin squares (MEQLS) of any order, providing a motivation to look at non-entangled mutually orthogonal Latin squares (MOQLS) instead.	P
40	John Bamberg and Lukas Klawuhn	Bamberg and Lukas Klawuhn	Designs of perfect matchings	We investigate generalisations of 1-factorisations and hyperfactorisations of the complete graph $K_{2n}$. We show that they are special subsets of the association scheme obtained from the Gelfand pair $(S_{2n},S_2 \wr S_n)$. This unifies and extends results by Cameron (1976) and gives rise to new existence and non-existence results. Our methods involve working in the group algebra $\mathbb{C}[S_{2n}]$ and using the representation theory of $S_{2n}$.	T
41	Tássio Naia, Guillem Perarnau and Xavier Povill	Naia, Guillem Perarnau and Xavier Povill	Balanced subtournaments of a random tournament	We study the size of the largest balanced subtournament in a random tournament on $n$ vertices. A tournament is balanced if all vertices have equal indegree and outdegree. We show that, with high probability, the largest balanced subtournament has size $O(n^{2/3})$. Moreover, for every $k = o(n^{2/3})$, with high probability the random tournament on $n$ vertices contains a balanced subtournament of size $k$. Our proof combines enumeration results for tournaments with prescribed degree sequences, due to McKay and Wang, with probabilistic arguments of Krivelevich, Sudakov and Wormald.	T
43	Max Kölbl	Kölbl	Toward a lattice interpretation of the roots of Ehrhart polynomials	Ehrhart polynomial roots have been an active object of study for the last 26 years, usually with regards to their distribution in $\mathbb{C}$. However, their meaning has remained mysterious. We present an approach in which an Ehrhart polynomial root, up to algebraic conjugates, in terms of the underlying lattice polytope by identifying it with a $p$-adic root arising from the same minimal polynomial.	P
44	R. Beltrán, J.M. Díaz-Báñez, J.M. Higes, A.J. Lozano, M.A. Pérez-Cutiño and I. Ventura	Beltrán, J.M. Díaz-Báñez, J.M. Higes, A.J. Lozano, M.A. Pérez-Cutiño and I. Ventura	The shortest marsupial path in a simple polygon	Let $P$ be a simple polygon with $n$ vertices. Given two points $p$ and $q$ in $P$, we introduce the <em>marsupial path</em> from $p$ to $q$ as the concatenation of a geodesic path from $p$ to a point $\hat{a}$ and a line segment connecting $\hat{a}$ and $q$, where both subpaths are subject to length constraints. If such a path exists, we say that $p$ <em>goes to $q$ marsupially</em>. We analyze the geometric properties of these paths and  present an $O(n)$-time algorithm to compute the shortest marsupial path connecting two given points, provided one exists. Moreover, we describe the <em>marsupial visibility region</em> of a point $p$, that is, the locus of points in $P$ to which $p$ can go marsupially.	T
45	Arnau Messegué and Josep M. Miret	Messegué and Josep M. Miret	There do not exist almost Moore digraphs of odd prime diameter	Almost Moore digraphs are diregular digraphs of degree $d>1$, diameter $k>1$, and order $N=d+d^2+\cdots +d^k$, that is, one unit less than the Moore bound. So far, their existence has only been proven for diameter $k=2$. It is also known that they do not exist for $k=3,4$ and $d=2,3$ if $k>2$. Furthermore, it is believed that they do not exist for any $k>2$.  <br> In this extended abstract, we show that there is an infinite family of values $k$ such that there do not exist almost Moore digraphs of diameter $k$ for any $d\geq 4$. More precisely, we show that when $k$ is an odd prime, there do not exist almost Moore digraphs for any $d \geq 4$. Our results substantially extend the previously known nonexistence cases.	T
48	Emmanuel Briand	Messegué and Josep M. Miret	Tridimensional rook placements and partial Latin rectangles through multisymmetric functions (extended abstract)	  We derive formulas for the generating series of the numbers of non-attacking rook placements in a tridimensional chessboard with 2 or 3 levels. These series count also partial Latin rectangles with $2$ or $3$ rows. Formulas for the corresponding rook polynomials are obtained as well.   <br>   The results are obtained following methods developed by MacMahon and Gessel for counting Latin squares and Latin rectangles, by means of scalar products of multisymmetric functions.	T
49	Tabriz Popatia, Simeon Ball and Michel Lavrauw	Popatia, Simeon Ball and Michel Lavrauw	Additive codes, finite geometry, and Griesmer-type bounds	Additive codes over finite fields admit a natural geometric description in terms of multisets of subspaces in projective space. In particular, an additive $[n,r/h,d]^h_q$ code is equivalent to a projective $h$-$(n,r,d)_q$ system, namely a multiset of $n$ subspaces of $\mathrm{PG}(r-1,q)$ of dimension at most $h-1$ such that each hyperplane contains at most $n-d$ of them, and some hyperplane contains exactly $n-d$. This correspondence allows questions on additive codes to be translated into finite-geometric problems. <br> In this talk we survey recent joint work on additive codes from this geometric viewpoint. We first discuss Griesmer-type bounds on the length of additive codes over finite fields, comparing them with the classical Griesmer bound for linear codes and with consequences for additive MDS codes. We then turn to constructions. In particular, we describe constructions of additive codes from linear codes using generalized Hamming weights and partial semifields, as well as a family of additive codes obtained from projective $h$-systems. These examples illustrate both the geometric nature of the theory and the sharpness of the bounds in certain parameter ranges. We conclude by highlighting families of additive codes with especially strong parameters, including examples meeting the additive Griesmer bound and examples outperforming the best known linear codes.	T
50	Gyula Károlyi	Károlyi	On set addition with restricted restrictions	Let $A_1,A_2,\dots,A_n$ be subsets of a field and $\Gamma$ a graph with vertex set $V(\Gamma)=\{1,2,\dots,n\}$. Denote by $\sum_\Gamma A_i$ the set of all elements that can be written in the form $a_1+\dots+a_n$, where $a_i\in A_i$ and $a_i\ne a_j$ for $ij\in E(\Gamma)$. Extending a recent result of Wang and Sun, we provide lower bounds on $|\sum_\Gamma A_i|$ in the case when $\Gamma$ is either a path or a cycle, and the cardinalities of the sets $A_i$ are equal. Our proof depends on a quantitative variant of the Combinatorial Nullstellensatz known as the coefficient lemma. A generalization to powers of paths allows to form an idea about the transition from unrestricted to restricted set addition.	T
51	Gabriela Araujo-Pardo, Narda Cordero-Michel, Diego Gonzalez and Carmen Hernando	Araujo-Pardo, Narda Cordero-Michel, Diego Gonzalez and Carmen Hernando	On locating and neighbor-locating colorings of Moore cages	A $k$-coloring of a graph $G$ is a $k$-partition $\Pi = \{S_1,..., S_k\}$ of $V(G)$ into independent sets, called colors. A $k$-coloring is called <em>neighbor-locating}</em> if for every pair of vertices $\{u,v\}$ belonging to the same color $S_i$, the set of colors of the neighborhood of $u$ is different from the set of colors of the neighborhood of $v$. The <em>neighbor-locating chromatic number</em>, denoted by $\chi_{\stackrel{}{NL}}(G)$, is the minimum cardinality of a neighbor-locating coloring of $G$. A $k$-coloring of a graph $G$ is a <em>locating coloring</em> if for each pair of vertices $\{u,v\}$ belonging to the same color $S_i$, there exists a color class $S_j$ such that $d(u,S_j)\neq d(v,S_j)$. The <em>locating chromatic number</em>, $\chi_{\stackrel{}{L}}(G)$, is the minimum cardinality of a locating coloring of $G$. In this paper we study  these kinds of colorings for Moore cages.	P
52	Delia Garijo, Andrew Goodall and Anna De Mier	Garijo, Andrew Goodall and Anna De Mier	Graph invariants from counting homomorphisms to Cayley graphs	The number of homomorphisms from a graph $G$ to graphs $G_q$ indexed by a positive integer $q$ defines an invariant of $G$. When $(G_q)$ is the sequence of complete graphs on $q$ vertices this invariant is the chromatic polynomial of $G$.  De la Harpe and Jaeger initiated the search for other sequences $(G_q)$ for which $\mathrm{hom}(G,G_q)$ is, for sufficiently large $q$, a polynomial in $q$ (depending only on $G$).  We extend this search to sequences for which $\mathrm{hom}(G,G_q)$ is a quasi-polynomial in $q$, or, more generally, for which the generating function $\sum_q \mathrm{hom}(G, G_q)z^q$ is rational. Our focus is on sequences $(G_q)$ arising from Cayley graphs; in particular, sequences of circulant graphs defined with reference to a fixed set of positive integers $D$, and the sequence of hypercubes.  For circulant graphs, after proving that it is necessary and sufficient for $D$ to be finite or cofinite for the sequence to yield a polynomial invariant,  we give a necessary condition on $D$ for the sequence to yield a quasi-polynomial invariant, and show that a quasi-polynomial indeed results when $D$ is an arithmetic progression. For hypercubes we show that the homomorphism numbers have a rational generating function.	T
54	Gabriela Araujo-Pardo, Julián Fresán-Figueroa, Linda Lesniak and Mika Olsen	Araujo-Pardo, Julián Fresán-Figueroa, Linda Lesniak and Mika Olsen	Rainbow-free colorings of generalized quadrangles	We consider a generalized quadrangle as a hypergraph where its points and lines correspond to the vertices and hyperedges of the hypergraph, respectively. In a vertex coloring, a hyperedge is rainbow if all its vertices receive different colors. If no edge is rainbow, it is called a rainbow-free coloring. Given a hypergraph $H$, the maximum integer k such that there exists a rainbow-free $k$-coloring of $H$ is called the upper chromatic number, denoted by $\overline{\chi}(H)$.  We establish lower and upper bounds for the upper chromatic number of some generalized quadrangles and give the following exact values $\overline{\chi}(\mathcal{Q}(4,2))=6$ and $\overline{\chi}(\mathcal{Q}(4,3))=21$.	P
55	Patrick Morris, Eion Mulrenin, Maya Sankar and Liana Yepremyan	Morris, Eion Mulrenin, Maya Sankar and Liana Yepremyan	Variants of Folkman numbers	The Folkman number $F(t)$ is the smallest possible  number of vertices of a graph $G$ which is $K_{t+1}$-free and  has the Ramsey property with respect to $K_t$, that is, any 2-colouring of the edges of $G$ results in a monochromatic $K_t$. Folkman numbers are at least as large as  Ramsey numbers, giving a lower bound of $F(t)\geq 2^{t/2}$.  On the other hand, the best known upper bound $F(t)\leq 2^{O(t^3)}$,  due to Balogh and Samotij, is achieved with a  random construction and the method of hypergraph containers. In this note, we introduce  off-diagonal and directed variants of Folkman numbers and obtain new bounds for these variants as well as for previously studied relaxed Folkman numbers. Our main focus is a pseudorandom clique-free graph construction   due to Bishnoi, Ihringer and Pepe  which is based on finite geometry.  We show that this explicit construction achieves a better upper bound for (certain parameters of) the Folkman number variants than the bounds obtained by adapting previous approaches for bounding classical Folkman numbers using random graphs. 	T
56	Gordian Bruns, Dheer Noal Desai, Alexander Gavrilyuk, Josias Gomez and Nathan Lindzey	Bruns, Dheer Noal Desai, Alexander Gavrilyuk, Josias Gomez and Nathan Lindzey	Intersecting Families of Spanning Trees of $K_{n,n}$	A family of spanning trees of a connected graph is $t$-<em>intersecting</em> if any pair of spanning trees in the family have $t$ or more edges in common. For sufficiently large $n$ and $t = O(n/\log n)$, we determine the extremal $t$-intersecting families of spanning trees in balanced complete bipartite graphs.	T
57	Yan Alves Radtke	Alves Radtke	On the surjectivity of a map by Kapranov and Voevodsky in four dimensions	We consider a map defined by Kapranov and Voevodsky, mapping from the higher Bruhat orders to the higher Stasheff-Tamari orders on triangulations of the cyclic polytope. This map generalizes the quotient map given by the Silvester congruence, which is a map from  the weak Bruhat order on permutations to the Tamari lattice. It is an open question whether this map is surjective in all dimensions. The surjectivity for triangulations of two and three dimensional cyclic polytopes was proven by Thomas. We prove that the map is surjective in the four dimensional case.	T
58	Robin Simoens and Steven Van Overberghe	Simoens and Steven Van Overberghe	An algorithm to find cospectral mates	 We present an implementation of switching methods for the construction of graphs with the same spectrum. Our algorithm uses the canonical construction path method, which exploits the automorphism group of both the input graph and the switching method.	P
59	Thomas Lesgourgues, Michelle Delcourt and Luke Postle	Lesgourgues, Michelle Delcourt and Luke Postle	Fractional Clique Decompositions of Dense Hypergraphs	n 2014, Keevash famously proved the existence of $(n,q,r)$-Steiner systems as part of settling the Existence Conjecture of Combinatorial Designs (dating from the mid-1800s). In 2020, Glock, Kühn, and Osthus conjectured a minimum degree generalization: specifically that minimum $(r-1)$-degree at least $(1-\frac{C}{q^{r-1}})n$ suffices to guarantee that every sufficiently large $K_q^r$-divisible $r$-uniform hypergraph on $n$ vertices admits a $K_q^r$-decomposition (where $C$ is a constant that is allowed to depend on $r$ but not $q$).  <br> The best-known progress on this conjecture is from the second proof of the Existence Conjecture by Glock, Kühn, Lo, and Osthus in 2016 who showed that $(1-\frac{C}{q^{2r}})n$ suffices. The fractional relaxation of the conjecture is crucial to improving the bound; for that, only the slightly better bound of $(1-\frac{C}{q^{2r-1}})n$ was known due to Barber, Kühn, Lo, Montgomery, and Osthus from 2017.  <br> Our main result is to prove that $(1-\frac{C}{q^{r-1+o(1)}})n$ suffices for the fractional relaxation. Combined with the work of Henderson and Postle from 2025, this also shows that such $K_q^r$-divisible hypergraphs admit $K_q^r$-decompositions.  	T
60	Sergio Cabello, Timothy M. Chan and Panos Giannopoulos	Cabello, Timothy M. Chan and Panos Giannopoulos	Delaunay triangulations with predictions	"We investigate <em>algorithms with predictions</em> in computational geometry,  specifically focusing on the basic problem of computing 2D Delaunay triangulations. Given a set $P$ of $n$ points in the plane and a triangulation $G$ that serves as a ""prediction"" of the Delaunay triangulation, we would like to use $G$ to compute the correct Delaunay triangulation $\textit{DT}(P)$ more quickly when $G$ is ""close"" to $\textit{DT}(P)$.  We obtain a variety of results under different deterministic and probabilistic settings."	T
61	Patrick Morris, Miquel Ortega and Juanjo Rue Juanjo Rue	Morris, Miquel Ortega and Juanjo Rue Juanjo Rue	Counting subsets of integers with no arithmetic progression of a given length	Cameron and Erdős asked if  the number of subsets of $[n]$         that avoid arithmetic progressions of length $k$ is $2^{(1+o(1))         r_k(n)}$, where $r_k(n)$ is the maximum size of a $k$-AP-free subset of         $[n]$. Balogh, Liu, and Sharifzadeh made substantial progress towards         answering this question by showing that the number of such subsets is         $2^{O(r_k(n))}$ for some infinite sequence of integers $n$. We prove it         it is $2^{(1+o(1))r_k(n)}$ for $k \geq 5$ and an infinite sequence of         $n$, answering the question of Cameron and Erdős for these values.         This complements a previously announced result of the authors, which         shows that the bound $2^{O(r_k(n))}$ holds for all $n$ and $k \geq 3$.	T
62	Amanda Montejano, Luis Montejano and Oriol Serra	Montejano, Luis Montejano and Oriol Serra	Discrete Brunn--Minkowski inequalities	The Brunn-Minkowski inequality is a fundamental result in convex geometry.  In the continuous setting, Bonnesen’s refinement incorporates $(d-1)$-dimensional projections, yielding sharper bounds that reflect geometric structure. A discrete counterpart is known only in dimension two, due to Grynkiewicz and Serra. In this paper, we explore extensions of this  result to higher dimensions by introducing a general framework to derive discrete Brunn--Minkowski-type inequalities.	T
63	Alejandro Galván, Jordi Castellví, Richard Coll, Clément Requilé and Juanjo Rué	Galván, Jordi Castellví, Richard Coll, Clément Requilé and Juanjo Rué	Enumeration of maximal $K_5$ -minor free graphs	Building on Wagner's structural decomposition of maximal $K_5$-minor free labelled graphs in terms of clique-sums of some types of triangular graphs and the Wagner graph, we enumerate, both exactly and asymtpotically this class of graphs by means of generating functions and analytic combinatorics.  This opens the way to the study of the uniform random maximal $K_5$-minor free graph, and is the main motivation for this work.	T
64	Cristina Fernández-Córdoba, Sergi Sanchez Aragon and Mercè Villanueva	Fernández-Córdoba, Sergi Sanchez Aragon and Mercè Villanueva	Hamming and homogeneous weight distributions of MacDonald codes over finite chain rings	A linear code of length $n$ over a finite chain ring $R$ with residue field $\mathbb{F}_q$ is an $R$-submodule of $R^n$. An $R$-linear code is a code over $\mathbb{F}_q$ (not necessarily linear) which is the Gray map image of a linear code over $R$. We present the construction of MacDonald codes over $R$ of type $\alpha$ and $\beta$, and their corresponding $R$-linear codes. Moreover, we show the fundamental parameters of these codes, as well as their Hamming and homogeneous weight distributions. 	T
65	Daniel Camazón Portela and Juan Antonio Lopez Ramos	Camazón Portela and Juan Antonio Lopez Ramos	Semigroup action based on skew polynomial evaluation with applications to Cryptography	Throughout this talk, we will introduce an action of the skew polynomial function right near-ring $\mathbb{F}_{q}\left[X; \sigma, \delta\right]$ on $\mathbb{F}_{q}$ based on its evaluation and the concept of the left skew product of functions. This will lead us to explore the construction of a certain subset $\mathcal{T}(X)\subset\mathbb{F}_{q}\left[X; \sigma, \delta\right]$, which allows us to control the non-commutativity of this ring, and exploit this fact to build a public key exchange protocol that is secure in the Canetti-Krawczyk model. The proposed protocol satisfies an interesting property; namely, even if an adversary $\mathcal{A}$ wins the game associated with the semigroup action problem with non-negligible probability with respect to a security parameter $\lambda$, this does not imply that $\mathcal{A}$ also wins the associated computational security game with non-negligible probability.	T
68	Pierre Aboulker, Charbit Pierre, Coulomb Samuel, Nurse Kathryn and Picasarri-Arrieta Lucas	Aboulker, Charbit Pierre, Coulomb Samuel, Nurse Kathryn and Picasarri-Arrieta Lucas	Acyclic dichromatic number of tournaments:\\these are the champions	The acyclic dichromatic number of an oriented graph is the minimum size of a vertex-partition such that the digraphs induced by any single part are acyclic, and the oriented bipartite graphs between any two parts are acyclic too. We characterize the subtournaments that must appear in every tournament with sufficiently large acyclic dichromatic number, thereby confirming a conjecture of Bang-Jensen, Picasarri-Arrieta, and Yeo.	T
69	Filip Filipi	Filipi	Generalized snarks for 2-vertex multigraphs with semi-edges	Motivated by topology, we say that a graph $A$ covers a connected graph $B$, if there exists a locally bijective graph homomorphism from $A$ onto $B$. In this context, graphs with multiple edges, loops, and semi-edges are considered. Recently, through the study of these covers, a notion generalizing snarks emerged. We say that a simple graph is an $(A,B)$-snark if it covers $A$ but does not cover $B$. It has been conjectured that if $A$, containing no semi-edges, does not cover $B$, then such an $(A,B)$-snark always exists. Several results on this conjecture have already been announced. In this extended abstract, we provide a complete characterization of the existence of $(A,B)$-snarks for $2$-vertex graphs $A,B$ in the general case, i.e., without forbidding semi-edges in $A$.	P
70	David Alcántara, Jette Gutzeit, Torben Donzelmann and Vincent Pilaud	Alcántara, Jette Gutzeit, Torben Donzelmann and Vincent Pilaud	Shade Polytopes	The $j$-<em>shadow</em> of a binary tree is obtained by reading the sizes and   positions of the subtrees along its $j$-th branch.   We show that the fan obtained by coarsening the sylvester fan according to the fibers of the $j$-shadow map is the normal fan of a polytope, which is both a deformation and a removahedron of the associahedron (hence also of the permutahedron). Finally, we briefly discuss further topics related to shadow maps: shade lattices, the connection to pipe dreams, and shadow maps on some generalizations of binary trees.	T
71	Ralihe Raul Villagran Olivas	Villagran Olivas	Sandpile groups of strongly regular graphs and the algebraic co-rank of twin-free graphs		T
91	Martina Juhnke    	Juhnke    	Monotone paths on polytopes: Positive and negative results	To solve a linear program, the simplex method follows a path in the graph of a polytope, on which a linear function increases. The length of this path is a key measure of the complexity of the simplex method. Our starting point is a conjecture by Jesús De Loera stating that the number of paths counted according to their length forms a unimodal sequence. We give examples (old and new) for which this conjecture is true but we disprove this conjecture by constructing counterexamples for several classes of polytopes. However, we show that De Loera is “statistically correct”: We prove that the length of a coherent path on a random polytope (with vertices chosen uniformly on a sphere) admits a central limit theorem. This is joint work with Germain Poullot	I
92	Kolja Knauer	Knauer	Endomorphisms of Sparse Graphs	An endomorphism of a graph is a homomorphism from the graph to itself. Since endomorphisms are closed under composition, they form a monoid. It has been known since the 1960s that every finite monoid is isomorphic to the endomorphism monoid of some graph. This naturally led to the question of how restrictive a graph class $\mathcal G$ can be while still realizing every monoid (from a given class) as the endomorphism monoid of a graph in $\mathcal G$.<br>  Particular attention has been devoted to sparse graph classes, such as planar graphs, minor-closed classes, and bounded-degree graphs. In this talk, I will survey some of the developments in this area and present two recent results that answer questions posed by Babai and Pultr in the 1980s: <br> 1. Every commutative idempotent monoid (equivalently, every finite lattice) is isomorphic to the endomorphism monoid of a subcubic graph.<br> 2. Every monoid is isomorphic to the endomorphism monoid of a regular graph. <br> Joint work with Gil Puig i Surroca.	I
93	Dimitrios Thilikos  	Thilikos  	Deciding Asymptotic Properties of Minor-Closed Graph Classes	We examine the general problem of deciding properties of graph classes under the lens of quasi ordering relations. In particular, we consider properties of minor-closed graph classes whose finite descriptions are given by their obstruction sets. The question of whether such descriptions can be accompanied by polynomial-time decision algorithms can be viewed as a consequence of major questions in order theory. We present two instantiations of this general question for which such algorithms exist and can be explicitly constructed. In particular we examine asymptotic properties of minor-closed graph classes, such as growth constants and limiting densities.  	I
94	Lisa Sauermann	Sauermann	TBA		I
